CbRt,SGZ,P,Q,CrRl,AbRl,DfClb,DfRlRt,DfDfClb,ST1,ST2,ST3,ST4,DfST1,DfST2,DfST3,DfST4,Sa,Target
-220,-13,0.16,0.06,0.9,-9,-2,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.017
69,36,-0.34,0.06,-0.2,-6,-7,-0.004,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-91,-52,0.52,0.07,-0.4,-11,-3,0.018,0,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.02
178,-6,0.06,0.02,0.5,-14,6,0.012,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
-48,-3,-0.2,0.27,-1.6,-21,-12,0.024,1.4,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.025
248,25,0.2,0.08,-0.9,-14,-1,0.002,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
-161,-27,-0.26,-0.04,0.3,-6,5,-0.01,-0.4,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
-348,-44,0.31,0.16,-1.2,-17,0,0.009,-0.2,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.038
280,-3,-0.14,0.02,-0.4,-10,2,-0.002,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
102,-17,-0.48,0,1.3,-10,4,-0.016,0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.019
30,-42,-0.5,-0.2,1.1,-5,22,-0.01,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
415,-3,0.29,-0.1,-0.7,-11,15,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.023
270,-56,0.3,0.02,0.5,-7,-1,-0.013,0,-0.0006,-0.0006,-0.0006,-0.0007,0.0001,0,0.0001,0,-0.0007,0.019
588,9,-0.21,-0.13,-1.1,-7,13,0.007,0.7,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.019
-116,25,0.38,0.02,0.7,-12,-12,-0.005,1.1,-0.0008,-0.0008,-0.0008,-0.0008,-0.0002,0,0,0,-0.0008,0.017
247,-11,0.17,0.13,-0.9,-17,1,0.006,-0.8,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.027
274,-17,0.32,-0.07,0.7,-5,8,-0.008,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
-218,-23,-0.54,-0.18,1.4,-11,9,-0.015,4.5,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.016
-345,58,-0.36,0.08,-0.9,-9,-4,0.001,-0.7,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0,0,0,-0.0006,0.018
520,-3,0.19,0.03,0.2,-8,-1,-0.003,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
-250,-88,-0.32,-0.19,0.4,-11,29,-0.01,-0.8,-0.0007,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.016
-201,-56,-0.15,-0.01,-0.6,-8,3,-0.002,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
81,-26,-0.42,-0.03,-0.4,-11,9,0.017,-0.7,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
-148,-23,-0.43,0.03,1.2,-5,-3,-0.016,0.5,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0,0,0,-0.0006,0.017
77,-31,0.58,0.37,-1.7,-17,-26,0.007,-1.9,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
-318,-77,0.04,0.16,1.1,-15,-6,-0.021,0,-0.0021,-0.0021,-0.0021,-0.0021,0,0,0,0,-0.0021,0.035
-81,-43,-0.35,-0.1,-0.8,-9,15,0.007,-0.3,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
532,-14,0.14,0.08,-0.2,-6,-11,0.002,0.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
-68,-35,-0.22,-0.03,-1.1,-17,19,0.028,-1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
528,-34,0.2,0.01,-0.7,-12,6,0.008,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
65,-48,0.44,-0.05,1.2,-14,13,-0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
-27,-17,-0.21,-0.04,0.4,-7,5,-0.008,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0001,0,0,0,-0.0005,0.016
-355,18,-0.41,-0.05,1.4,-9,-12,0.001,4,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
-840,5,-0.04,0.19,2,-6,-20,-0.018,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
-246,12,0.04,0.22,1.1,-5,-24,-0.017,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
-343,26,-0.3,-0.14,0.1,-9,8,0.002,2.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.015
506,16,0.21,0.02,-0.6,-16,8,0.015,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
-54,-46,0.27,0.04,-0.4,-18,11,0.01,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.02
-233,60,-0.29,0.15,-1.4,-12,-9,0.02,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.024
-426,-28,0.02,0.04,0,-6,-4,0,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.015
69,-14,-0.27,-0.04,1.3,-5,4,-0.008,-0.1,-0.0003,-0.0004,-0.0004,-0.0005,0,0,0.0001,0,-0.0005,0.017
77,-11,-0.22,0.01,-0.6,-6,1,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.036
-268,9,-0.2,0.14,-0.5,-10,-12,-0.003,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
-41,-37,0.39,0.02,-0.3,-14,11,0.021,-1.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
423,-32,0.59,-0.01,-2.4,-15,10,0.038,-0.7,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,0,0,0,-0.0002,0.018
-145,-37,0.18,0.01,1.6,-10,4,-0.017,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.02
-220,-26,-0.73,-0.03,-0.2,-16,17,0.013,-0.5,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0.0001,0,-0.0008,0.017
276,-2,0.23,0.02,1.7,-10,2,-0.007,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
-34,-37,-0.24,0.08,-0.2,-14,4,0.012,-0.7,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.017
592,27,0.39,0.05,-0.3,-11,1,0.013,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.027
-265,-63,-0.77,0,-0.7,-11,-2,0.016,1.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.016
205,-27,0.04,-0.1,0.2,-9,13,0.001,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-455,73,-0.23,0.16,1.4,-10,-15,-0.012,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
64,-94,0.09,-0.26,1.9,-4,24,-0.007,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.021
-22,-3,-0.21,-0.13,-0.4,-6,11,0.003,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.021
-30,-13,0.23,-0.01,-0.5,-8,3,0.005,-0.1,-0.0006,-0.0005,-0.0005,-0.0005,-0.0002,0,0,0,-0.0005,0.025
178,-10,-0.09,-0.04,-0.9,-7,5,0.005,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.017
-237,-25,-0.2,0.05,-1,-14,2,-0.006,0.6,-0.0011,-0.0014,-0.0014,-0.0015,0.0003,0,0.0001,0,-0.0015,0.033
327,-26,0.22,-0.01,0.5,-8,2,0.002,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
310,-30,0.19,-0.01,-1.3,-12,6,0.024,-0.6,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
332,-52,-0.37,-0.14,0.3,-10,17,0.008,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-78,7,-0.14,0.11,0.4,-14,-2,-0.009,-0.2,-0.0016,-0.0016,-0.0016,-0.0016,0,0,0,0,-0.0016,0.036
60,-51,-0.25,0.05,-0.8,-11,4,0.004,-0.2,-0.0004,-0.0005,-0.0005,-0.0006,0.0001,0,0.0001,0,-0.0006,0.019
545,-53,-0.12,-0.05,1.5,-7,2,0.002,1.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
213,-17,-0.24,0.08,-0.8,-14,-2,0,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.019
-336,-36,-0.24,0.13,-1.1,-15,-7,0.012,0.6,-0.0006,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,0.021
-447,-5,-0.23,-0.08,-0.2,-10,12,-0.002,1.7,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
168,55,0.14,0.01,-0.2,-6,-1,0.003,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.02
785,-16,-0.06,0.22,0.6,-11,11,0.005,-6.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
292,-8,0.06,0.23,-1.6,-20,-8,0.011,-1,-0.0011,-0.001,-0.001,-0.001,-0.0002,0,0,0,-0.001,0.022
-15,48,0.29,0.26,1.1,-14,-22,-0.005,0.4,-0.001,-0.001,-0.001,-0.0009,0,0,-0.0002,0,-0.0009,0.024
-57,-23,0.25,0.06,-0.7,-8,-6,0.008,0.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.018
383,-13,-0.07,0.04,1.1,-11,0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,-0.0001,0,-0.0009,0.019
132,-7,-0.26,0.01,1,-6,0,-0.016,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
295,-9,0.6,0.1,-1.2,-17,-1,0.025,0.3,-0.0008,-0.0005,-0.0005,-0.0005,-0.0004,0,0,0,-0.0005,0.021
508,11,0.21,0.03,-0.2,-6,-4,-0.002,-0.6,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
186,-28,0.51,-0.02,-0.5,-13,9,0.026,-0.1,-0.0004,-0.0003,-0.0003,-0.0003,-0.0001,0,-0.0001,0,-0.0003,0.018
259,-23,-0.15,0.08,-0.5,-15,3,0.005,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
704,14,0.22,-0.01,0.8,-5,3,-0.007,-0.7,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.021
284,-82,0.36,0.03,2.5,-3,-4,-0.021,-0.6,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
-48,-50,0.09,0.09,-0.2,-7,-9,-0.011,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
449,-27,0.05,0.02,0.3,-13,5,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
514,-19,-0.12,0.08,-1.2,-7,1,0.006,-0.5,-0.0003,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
-16,-21,0.08,-0.05,0.6,-5,6,-0.005,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
100,-36,-0.13,-0.05,-0.7,-9,9,0.006,-1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
-251,-15,0.38,0.14,-0.2,-13,-8,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
288,-14,-0.38,0.19,0.3,-19,-5,-0.006,0,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.023
17,-57,0.22,0.06,0.7,-12,0,-0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.021
125,-39,0.35,-0.02,-1.2,-7,3,0.002,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.019
-345,6,-0.22,0.02,0.4,-6,-1,-0.004,0.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
233,16,-0.18,0.19,-0.9,-13,-10,0.01,-0.1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.042
-147,-13,0.12,0.19,-0.2,-13,-11,-0.018,-0.6,-0.0012,-0.0012,-0.0012,-0.0011,0,0,-0.0002,0,-0.0011,0.02
-188,-11,0.85,0.28,0.6,-17,-16,0.002,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.025
-214,-1,-0.17,0.11,1,-12,-7,-0.007,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
209,-8,0.07,0.06,-0.6,-14,2,-0.002,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
84,-11,-0.17,-0.11,-0.3,-7,14,0.011,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.017
71,-19,-0.26,-0.02,0.3,-6,2,-0.011,0,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0,0,0,-0.0006,0.018
823,-4,0.06,0.2,0.2,-21,2,-0.013,-0.2,-0.002,-0.002,-0.002,-0.002,0,0,0,0,-0.002,0.035
257,-36,0.23,0.01,-0.1,-12,6,0.003,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
-27,-38,-0.4,0,2.4,-11,3,-0.026,0.2,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.022
-211,13,0.5,0.21,0.5,-6,-14,-0.004,-2,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.016
172,17,-0.18,0.15,0,-11,-12,-0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.019
-33,-23,0.11,0.08,-1.5,-11,-4,0.03,-0.2,-0.0002,-0.0002,-0.0002,-0.0002,-0.0001,0,0,0,-0.0002,0.016
-119,-17,0.05,0.23,0.3,-13,-11,0.005,-0.6,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.046
517,-27,-0.19,-0.1,1.9,-11,15,-0.013,-0.2,-0.0015,-0.0015,-0.0015,-0.0015,0,0,0,0,-0.0015,0.037
383,-16,0,0.05,1.1,-11,0,-0.019,0,-0.0009,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.02
48,-18,-0.35,0.02,0.6,-13,5,-0.018,0.2,-0.0015,-0.0015,-0.0015,-0.0015,0,0,0,0,-0.0015,0.028
-326,27,0.42,0.12,0.6,-10,-9,0.002,-0.6,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
38,-15,-0.3,0.01,0.3,-7,1,-0.004,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
113,7,-0.48,0.23,0.2,-19,-15,-0.007,1,-0.0016,-0.0019,-0.0019,-0.0021,0.0003,0,0.0001,0,-0.0021,0.039
116,31,0.04,-0.03,-0.2,-10,7,-0.009,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
-499,-25,0.02,-0.01,0.7,-13,5,0.009,0.6,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.017
-39,-72,-0.24,-0.13,1,-10,21,-0.026,-1.3,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.016
-37,-11,-0.23,0.21,0.4,-13,-16,-0.014,-0.3,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.02
-189,-48,-0.13,-0.18,0.2,-9,21,-0.014,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.013
77,-41,0.29,0.01,0.7,-12,7,-0.009,-0.6,-0.0011,-0.001,-0.001,-0.001,-0.0002,0,0,0,-0.001,0.025
-77,-6,-0.07,0.06,0.5,-18,8,-0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.02
334,-17,-0.17,-0.21,1.2,-7,25,0.005,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
59,11,-0.23,0.04,-0.8,-8,-3,-0.001,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-431,6,-0.24,-0.02,1.6,-17,-2,-0.013,2.1,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.022
261,18,0.04,-0.03,-0.8,-9,6,0.011,0,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.019
124,11,0.26,0.12,-0.3,-10,-11,0.012,0.4,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0,0,0,-0.0005,0.024
-31,-17,0.08,0.01,1.3,-7,-1,-0.009,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
109,18,0.24,0.24,-1.5,-8,3,0.009,-5.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
-151,-8,0.5,0.17,0.2,-18,-8,-0.011,-0.2,-0.0015,-0.0015,-0.0015,-0.0014,0,0,-0.0002,0,-0.0014,0.025
13,-25,-0.28,0.21,1.5,-15,-9,-0.017,-0.1,-0.0023,-0.0023,-0.0023,-0.0023,0,0,0,0,-0.0023,0.044
-147,-14,0.21,0.05,1.9,-8,-11,-0.025,1.5,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.016
52,-20,-0.04,-0.16,-0.7,-13,12,0.004,4.4,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.018
245,7,-0.41,-0.16,1,-6,18,0.001,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-92,-37,-0.84,-0.05,-0.9,-19,12,0.026,2.4,-0.0008,-0.0009,-0.0009,-0.001,0.0001,0,0.0001,0,-0.001,0.023
-279,40,-0.07,0.16,-0.1,-10,-15,-0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
-521,-17,-0.05,0.02,0.4,-6,-2,-0.004,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
-92,-17,-0.19,0.1,-0.9,-17,4,0.005,-0.1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.024
-151,-3,-0.44,0.03,0.2,-13,4,-0.018,0,-0.0006,-0.0008,-0.0008,-0.0011,0.0002,0,0.0003,0,-0.0011,0.019
-296,18,0.36,0.38,-0.4,-16,-19,-0.003,0.2,-0.002,-0.002,-0.002,-0.002,0,0,0,0,-0.002,0.054
-29,-42,0.16,0.13,-0.8,-21,7,0.029,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
-16,-26,0.19,0.17,-0.9,-14,-10,0.003,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
-472,13,-0.41,0.13,2.1,-14,-6,-0.023,0,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.02
-50,-20,-0.37,-0.05,-0.2,-7,7,0.006,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-332,13,-0.59,0.32,-0.1,-10,-32,0.002,-0.8,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
-375,-10,-0.19,0.06,0.6,-5,-8,-0.008,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
-337,16,-0.26,0.11,0.4,-12,-7,-0.009,0,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.02
-382,-20,-0.13,0.06,0.8,-6,-6,-0.003,0,-0.0005,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.019
473,-27,0.02,-0.1,0.1,-6,11,0.004,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.017
105,-63,0.85,0.17,-0.8,-16,4,0.009,-0.6,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,-0.0002,0,-0.0007,0.022
132,-2,0.06,-0.08,1.1,-8,15,-0.007,-1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
-29,-32,0.6,-0.01,0.1,-11,8,-0.001,-0.4,-0.0007,-0.0007,-0.0007,-0.0006,0,0,-0.0002,0,-0.0006,0.017
129,15,-0.56,0.06,-0.2,-7,-6,-0.01,0,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.018
58,-18,0.15,-0.02,-0.9,-12,7,0.014,0,-0.0006,-0.0005,-0.0005,-0.0005,-0.0001,0,-0.0001,0,-0.0005,0.019
-238,-8,0.01,0.15,-0.2,-10,-10,-0.002,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.034
-368,-19,-0.22,-0.03,0.3,-10,11,-0.006,-1.3,-0.0005,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,0.017
180,-15,0,-0.03,0.2,-9,5,-0.001,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
-388,-27,0.18,0.18,-0.5,-7,-19,0.001,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.015
-267,-40,-0.32,0.09,0.4,-16,10,0.005,-0.7,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.02
-49,14,0.15,0.13,1.4,-7,-13,-0.008,-0.1,-0.0004,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
-294,-1,0.21,0.2,1.1,-14,-15,-0.012,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.019
47,-43,-0.29,0.12,1.3,-12,-9,-0.008,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.016
168,-61,-0.54,-0.25,-1.1,-7,29,0.014,-0.1,-0.0002,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.013
328,19,0.8,0.36,1.1,-20,-8,-0.007,-2.6,-0.0015,-0.0014,-0.0014,-0.0014,-0.0002,0,0,0,-0.0014,0.03
-468,-8,-0.45,-0.03,0.2,-13,6,-0.014,1.4,-0.0009,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.018
332,-6,-0.51,0.24,0.4,-10,-5,-0.026,-3.2,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.022
128,-19,-0.34,-0.08,-0.9,-11,18,0.018,-0.6,-0.0003,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
-253,-33,0.46,0.06,0.8,-7,-6,-0.005,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
156,-16,0.18,-0.03,-1.2,-8,5,0.012,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,-0.0001,0,0,0,-0.0003,0.021
8,-11,0.37,0.06,1,-8,-5,0.002,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.019
-492,-11,-0.15,0.09,0.2,-6,-9,-0.009,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
-570,33,-0.66,0.24,-0.5,-18,-9,-0.022,0,-0.0019,-0.0019,-0.0019,-0.0019,0,0,0,0,-0.0019,0.026
-63,-18,-0.1,0.15,1.3,-10,-13,-0.012,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.022
64,2,0.24,0.11,0.2,-12,-5,0.003,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.023
-301,-30,-0.29,0.01,0.4,-7,1,-0.01,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.015
-172,-21,-0.56,-0.08,-0.2,-19,-1,-0.006,4,-0.0011,-0.0014,-0.0014,-0.0017,0.0003,0,0.0003,0,-0.0017,0.028
-316,-49,-0.15,0.14,-0.5,-16,-2,0.011,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.022
15,-28,0.64,0.04,1.4,-10,-5,-0.004,1.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,0.018
113,-4,-0.2,0.05,-0.9,-11,-2,0.009,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
40,-31,0.15,-0.09,-1.4,-14,14,0.016,0,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.038
-6,-30,-0.36,0.02,-0.5,-6,-3,0.006,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
6,-30,0.11,-0.09,-1,-10,13,0.021,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,0,0,0,-0.0003,0.018
-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.019
-140,-11,-0.23,-0.05,0.6,-12,15,-0.014,0.4,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.027
-712,51,0.32,0,0.7,-7,-8,-0.007,3.5,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,0.024
-279,-43,0.46,0.15,1,-14,-7,-0.011,-0.2,-0.0012,-0.0011,-0.0011,-0.001,-0.0002,0,-0.0002,0,-0.001,0.022
273,-6,0.35,0.24,0.1,-11,-9,-0.019,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.021
8,-35,-0.36,0.04,-0.8,-12,2,-0.017,0.1,-0.0009,-0.001,-0.001,-0.0011,0.0001,0,0.0001,0,-0.0011,0.02
-133,-8,-0.37,-0.02,0.4,-6,2,-0.01,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
-15,-17,0.22,0.1,0.7,-13,-2,-0.006,-0.2,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.03
